data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2013-07-18,PTBL3,0.5,9758.531438008298,2.74,3353.4472295561163,2.91
2013-07-19,ETER3,0.5,9743.386259446166,18.71,491.0980977543431,19.84
2013-07-19,PTBL3,0.5,9724.996965712737,2.74,3353.4472295561163,2.9
2013-07-22,ETER3,0.5,9812.139993131776,18.71,491.0980977543431,19.98
2013-07-22,PTBL3,0.5,9859.134854894983,2.74,3353.4472295561163,2.94
2013-07-23,ETER3,0.5,9561.67996327706,18.71,491.0980977543431,19.47
2013-07-23,PTBL3,0.5,9624.393548826054,2.74,3353.4472295561163,2.87
2013-07-24,ETER3,0.5,9394.706610040583,18.71,491.0980977543431,19.13
2013-07-24,PTBL3,0.5,9792.06591030386,2.74,3353.4472295561163,2.92
2013-07-25,ETER3,0.5,9880.893726817383,18.71,491.0980977543431,20.12
2013-07-25,PTBL3,0.5,9557.324604234931,2.74,3353.4472295561163,2.85
2013-07-26,ETER3,0.5,9743.386259446166,18.71,491.0980977543431,19.84
2013-07-26,PTBL3,0.5,9188.44540898376,2.74,3353.4472295561163,2.74
2013-07-29,ETER3,0.5,9669.721544783017,18.71,491.0980977543431,19.69
2013-07-29,PTBL3,0.5,9322.583298166002,2.74,3353.4472295561163,2.78
2013-07-30,ETER3,0.5,9483.104267636365,18.71,491.0980977543431,19.31
2013-07-30,PTBL3,0.5,9255.514353574881,2.74,3353.4472295561163,2.76
2013-07-31,ETER3,0.5,9463.46034372619,18.71,491.0980977543431,19.27
2013-07-31,PTBL3,0.5,9121.376464392637,2.74,3353.4472295561163,2.72
2013-08-01,ETER3,0.5,9743.386259446166,18.71,491.0980977543431,19.84
2013-08-01,PTBL3,0.5,9154.910936688197,2.74,3353.4472295561163,2.73
2013-08-02,ETER3,0.5,9571.501925232145,18.71,491.0980977543431,19.49
2013-08-02,PTBL3,0.5,9121.376464392637,2.74,3353.4472295561163,2.72
2013-08-05,ETER3,0.5,9890.71568877247,18.71,491.0980977543431,20.14
2013-08-05,PTBL3,0.5,9255.514353574881,2.74,3353.4472295561163,2.76
2013-08-06,ETER3,0.5,9802.318031176688,18.71,491.0980977543431,19.96
2013-08-06,PTBL3,0.5,9188.44540898376,2.74,3353.4472295561163,2.74
2013-08-07,ETER3,0.5,9591.145849142322,18.71,491.0980977543431,19.53
2013-08-07,PTBL3,0.5,9188.44540898376,2.74,3353.4472295561163,2.74
2013-08-08,ETER3,0.5,9630.433696962667,18.71,491.0980977543431,19.61
2013-08-08,PTBL3,0.5,9188.44540898376,2.74,3353.4472295561163,2.74
2013-08-09,ETER3,0.5,9399.842980252179,19.61,479.8286360516681,19.59
2013-08-09,PFRM3,0.5,9421.027532718255,16.24,579.3989872520451,16.26
2013-08-12,ETER3,0.5,9467.018989299413,19.61,479.8286360516681,19.73
2013-08-12,PFRM3,0.5,9397.85157322817,16.24,579.3989872520451,16.22
2013-08-13,ETER3,0.5,9380.649834810112,19.61,479.8286360516681,19.55
2013-08-13,PFRM3,0.5,9328.323694757928,16.24,579.3989872520451,16.1
2013-08-14,ETER3,0.5,9409.439552973212,19.61,479.8286360516681,19.61
2013-08-14,PFRM3,0.5,9536.907330168664,16.24,579.3989872520451,16.46
2013-08-15,ETER3,0.5,9275.087534878745,19.61,479.8286360516681,19.33
2013-08-15,PFRM3,0.5,9444.203492208337,16.24,579.3989872520451,16.3
2013-08-16,ETER3,0.5,9390.246407531145,19.61,479.8286360516681,19.57
2013-08-16,PFRM3,0.5,9444.203492208337,16.24,579.3989872520451,16.3
2013-08-19,ETER3,0.5,8948.80406236361,19.61,479.8286360516681,18.65
2013-08-19,PFRM3,0.5,9374.675613738089,16.24,579.3989872520451,16.18
2013-08-20,ETER3,0.5,8416.19427634626,19.61,479.8286360516681,17.54
2013-08-20,PFRM3,0.5,9328.323694757928,16.24,579.3989872520451,16.1
2013-08-21,ETER3,0.5,8109.103949273191,19.61,479.8286360516681,16.9
2013-08-21,PFRM3,0.5,9299.353745395325,16.24,579.3989872520451,16.05
2013-08-22,ETER3,0.5,8089.910803831124,19.61,479.8286360516681,16.86
2013-08-22,PFRM3,0.5,9212.443897307518,16.24,579.3989872520451,15.9
2013-08-23,ETER3,0.5,8286.640544612308,19.61,479.8286360516681,17.27
2013-08-23,PFRM3,0.5,9281.971775777762,16.24,579.3989872520451,16.02
2013-08-26,ETER3,0.5,8406.597703625226,19.61,479.8286360516681,17.52
2013-08-26,PFRM3,0.5,9258.795816287682,16.24,579.3989872520451,15.98
2013-08-27,ETER3,0.5,8397.001130904193,19.61,479.8286360516681,17.5
2013-08-27,PFRM3,0.5,9258.795816287682,16.24,579.3989872520451,15.98
2013-08-28,ETER3,0.5,8435.387421788324,19.61,479.8286360516681,17.58
2013-08-28,PFRM3,0.5,9206.649907434998,16.24,579.3989872520451,15.89
2013-08-29,ETER3,0.5,8454.580567230392,19.61,479.8286360516681,17.62
2013-08-29,PFRM3,0.5,9351.49965424801,16.24,579.3989872520451,16.14
2013-08-30,ETER3,0.5,8387.40455818316,19.61,479.8286360516681,17.48
2013-08-30,PFRM3,0.5,9490.555411188498,16.24,579.3989872520451,16.38
2013-09-02,ETER3,0.5,8185.876531041457,19.61,479.8286360516681,17.06
