data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
2025-08-25,22.4,22.45,22.58,22.42,22.29,1172800,3465,ISAE4,26294996.0,1.0,22.45,1.0,22.45,22.4,22.58,22.42,22.29,41422180.0,16658635559.0,0.16490944459479384,-0.01664476565922024,0.38858739925025604,0.839173695143553,433.0,120.0,30.0,106.0,75.0,102.0,93.0
2025-08-25,10.99,10.93,11.05,10.96,10.93,14348900,20249,ITSA4,157341200.0,1.0,10.93,1.0,10.93,10.99,11.05,10.96,10.93,199976710.0,122505431190.0,0.13581175711859836,0.2294713160854891,4.182923862807103,0.8819751247782415,372.0,149.0,54.0,54.0,29.0,86.0,65.0
2025-08-25,2.81,2.77,2.89,2.81,2.75,1030800,1417,JALL3,2904041.0,1.0,2.77,1.0,2.77,2.81,2.89,2.81,2.75,2751644.0,931873522.0,0.1113277495784518,-0.38986784140969166,0.045578872626118566,1.0444276079529708,444.0,24.0,85.0,148.0,141.0,46.0,100.0
2025-08-25,5.51,5.53,5.58,5.52,5.49,1054600,2151,JHSF3,5825883.0,1.0,5.53,1.0,5.53,5.51,5.58,5.52,5.49,11233935.0,3713209020.0,0.22377087422667535,0.46684350132625996,0.501904675376808,0.8496991809756763,258.0,71.0,6.0,17.0,64.0,100.0,25.0
2025-08-25,5.41,5.37,5.47,5.41,5.34,216200,724,JSLG3,1170161.0,1.0,5.37,1.0,5.37,5.41,5.47,5.41,5.34,2669392.0,1563913686.0,0.13736601672585438,-0.09899328859060397,0.16979053200370267,0.8191515685409623,445.0,40.0,52.0,122.0,123.0,108.0,101.0
2025-08-25,7.35,7.36,7.46,7.37,7.32,835700,2239,KEPL3,6163651.0,1.0,7.36,1.0,7.36,7.35,7.46,7.37,7.32,7416475.0,1276012000.0,0.25752025576043625,-0.20432432432432424,999.0,0.7870856864603786,297.5,31.0,4.0,133.0,11.5,118.0,39.0
2025-08-25,18.38,18.35,18.44,18.31,18.22,2768800,8495,KLBN11,50709597.0,1.0,18.35,1.0,18.35,18.38,18.44,18.31,18.22,71938108.0,22716132515.0,0.09309462137514588,-0.11008729388942773,0.16893174554039286,0.7507645537655313,596.0,122.0,103.0,123.0,125.0,123.0,149.0
2025-08-25,12.47,12.37,12.6,12.45,12.37,160500,768,LAVV3,1999631.0,1.0,12.37,1.0,12.37,12.47,12.6,12.45,12.37,4699889.0,2462472835.0,0.19213923951974596,0.4400465657741559,8.31523194725818,0.877333516285079,203.0,61.0,11.0,19.0,24.0,88.0,10.0
2025-08-25,6.02,5.93,6.13,5.97,5.93,1048400,2616,LIGT3,6268509.0,1.0,5.93,1.0,5.93,6.02,6.13,5.97,5.93,6268509.0,2719653865.0,0.1813723486776965,0.5402597402597402,0.21530281938437812,1.9304065439050937,202.0,66.0,17.0,10.0,106.0,3.0,9.0
2025-08-25,4.65,4.67,4.67,4.64,4.6,216700,1202,MATD3,1005541.0,1.0,4.67,1.0,4.67,4.65,4.67,4.64,4.6,960477.0,1622240368.0,-0.1417168413327464,0.25876010781671166,-999.0,0.4733423276293521,533.0,41.0,150.0,41.0,149.0,152.0,138.0
